#records, threads, repetitions, usertime, peakRSS
3770, 1, 1, 0.41, 46116
3770, 1, 2, 0.69, 52068
3770, 1, 3, 0.93, 72496
3770, 1, 4, 1.20, 81304
3770, 1, 5, 1.50, 87756
3770, 1, 6, 1.72, 89500
3770, 1, 7, 2.05, 94492
3770, 1, 8, 2.27, 88276
3770, 1, 9, 2.55, 94324
3770, 1, 10, 2.77, 95200
3770, 1, 20, 5.38, 85952
3770, 1, 40, 10.71, 88120
3770, 1, 80, 21.28, 91248
3770, 1, 160, 44.84, 99864
3770, 1, 320, 87.54, 100600
3770, 2, 1, 0.89, 87012
3770, 2, 2, 1.41, 101544
3770, 2, 3, 2.04, 129956
3770, 2, 4, 2.53, 137568
3770, 2, 5, 3.14, 153408
3770, 2, 6, 3.75, 153120
3770, 2, 7, 4.18, 154836
3770, 2, 8, 4.81, 154884
3770, 2, 9, 5.27, 145528
3770, 2, 10, 5.87, 153916
3770, 2, 20, 11.52, 161000
3770, 2, 40, 24.17, 177660
3770, 2, 80, 50.32, 160796
3770, 2, 160, 100.79, 154220
3770, 2, 320, 187.42, 152956
3770, 4, 1, 2.14, 168148
3770, 4, 2, 3.77, 209672
3770, 4, 3, 5.28, 281388
3770, 4, 4, 6.90, 301536
3770, 4, 5, 8.43, 299044
3770, 4, 6, 10.10, 291936
3770, 4, 7, 11.70, 293632
3770, 4, 8, 13.20, 294824
3770, 4, 9, 14.79, 300492
3770, 4, 10, 16.48, 299364
3770, 4, 20, 34.00, 292020
3770, 4, 40, 70.51, 290088
3770, 4, 80, 142.37, 290024
3770, 4, 160, 272.77, 303180
3770, 4, 320, 534.74, 298876
3770, 8, 10, 33.43, 581628
3770, 8, 20, 68.08, 590672
3770, 8, 40, 144.25, 578036
3770, 8, 80, 272.82, 584504
3770, 8, 160, 536.64, 587692
3770, 8, 320, 1070.46, 545400





